CvA term name	CvA term id	apply to CvA children terms	CvB term name	CvB term id	apply to CvB children terms	"is CvA CvB instance combination expected (NO-error, YES-ok, MAYBE-weird)"
interaction detection method 	MI:0001	FALSE	experimental role	MI:0495	TRUE	YES
  experimental interaction detection 	MI:0045	FALSE	experimental role	MI:0495	TRUE	YES
   biochemical 	MI:0401	FALSE	experimental role	MI:0495	FALSE	NO
   biochemical 	MI:0401	FALSE	ancillary	MI:0684	FALSE	YES
   biochemical 	MI:0401	FALSE	bait	MI:0496	FALSE	YES
   biochemical 	MI:0401	FALSE	fluorescence acceptor	MI:0584	FALSE	MAYBE
   biochemical 	MI:0401	FALSE	fluorescence donor	MI:0583	FALSE	MAYBE
   biochemical 	MI:0401	FALSE	neutral component	MI:0497	FALSE	YES
   biochemical 	MI:0401	FALSE	prey	MI:0498	FALSE	YES
   biochemical 	MI:0401	FALSE	putative self	MI:0898	FALSE	YES
   biochemical 	MI:0401	FALSE	fluorescence acceptor donor pair	MI:0865	FALSE	MAYBE
   biochemical 	MI:0401	FALSE	self	MI:0503	FALSE	YES
   biochemical 	MI:0401	FALSE	suppressed gene	MI:0582	FALSE	NO
   biochemical 	MI:0401	FALSE	suppressor gene	MI:0581	FALSE	NO
   biochemical 	MI:0401	FALSE	unspecified role	MI:0499	FALSE	YES
    affinity technology 	MI:0400	FALSE	experimental role	MI:0495	FALSE	NO
    affinity technology 	MI:0400	FALSE	ancillary	MI:0684	FALSE	YES
    affinity technology 	MI:0400	FALSE	bait	MI:0496	FALSE	YES
    affinity technology 	MI:0400	FALSE	fluorescence acceptor	MI:0584	FALSE	NO
    affinity technology 	MI:0400	FALSE	fluorescence donor	MI:0583	FALSE	NO
    affinity technology 	MI:0400	FALSE	neutral component	MI:0497	FALSE	YES
    affinity technology 	MI:0400	FALSE	prey	MI:0498	FALSE	YES
    affinity technology 	MI:0400	FALSE	putative self	MI:0898	FALSE	NO
    affinity technology 	MI:0400	FALSE	fluorescence acceptor donor pair	MI:0865	FALSE	NO
    affinity technology 	MI:0400	FALSE	self	MI:0503	FALSE	NO
    affinity technology 	MI:0400	FALSE	suppressed gene	MI:0582	FALSE	NO
    affinity technology 	MI:0400	FALSE	suppressor gene	MI:0581	FALSE	NO
    affinity technology 	MI:0400	FALSE	unspecified role	MI:0499	FALSE	YES
     affinity chromatography technology 	MI:0004	FALSE	experimental role	MI:0495	FALSE	NO
     affinity chromatography technology 	MI:0004	FALSE	ancillary	MI:0684	FALSE	YES
     affinity chromatography technology 	MI:0004	FALSE	bait	MI:0496	FALSE	YES
     affinity chromatography technology 	MI:0004	FALSE	fluorescence acceptor	MI:0584	FALSE	NO
     affinity chromatography technology 	MI:0004	FALSE	fluorescence donor	MI:0583	FALSE	NO
